ip (hidden),isHoneypot_new,IsCloud_old,IpwhoisNetsDescription,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,atgSUPER,atgUNLEAD,atgDIESEL,atgPREMIUM,atgTwoTimesCompare,domains_Shodan,hostnames_Shodan,isp_Shodan,org_Shodan,atgProduct1FirstTimeVolumeTC,atgProduct1SecondTimeVolumeTC,atgProduct1FirstTimeULLAGE,atgProduct1SecondTimeULLAGE,atgProduct2FirstTimeVolumeTC,atgProduct2SecondTimeVolumeTC,atgProduct2FirstTimeULLAGE,atgProduct2SecondTimeULLAGE,atgProduct3FirstTimeVolumeTC,atgProduct3SecondTimeVolumeTC,atgProduct3FirstTimeULLAGE,atgProduct3SecondTimeULLAGE,atgProduct4FirstTimeVolumeTC,atgProduct4SecondTimeVolumeTC,atgProduct4FirstTimeULLAGE,atgProduct4SecondTimeULLAGE,city,country,latitude,longitude,vulns_Shodan
1,honeypot,TRUE,Google LLC,cloud,Linux 2.6.32,93,,,Linux,0,30,1,1,1,0,FALSE,,,,,7345,8820,3110,6740,3510,6550,4097,6432,7111,6327,6293,4799,1702,7294,6293,4799,Mountain View,United States,37.4192,-122.0574,
2,honeypot,TRUE,Linode,VPS,Linux 2.6.32,94,Debian,cloud,Linux,6,27,1,1,1,0,FALSE,linodeusercontent.com,172-104-46-25.ip.linodeusercontent.com,Akamai Connected Cloud,"Akamai Technologies, Inc.",3012,5822,8574,8215,8829,4862,4090,7048,3868,4367,3424,8960,4954,1554,3424,8960,Singapore,Singapore,1.2931,103.8558,
3,honeypot,TRUE,Microsoft Corporation,cloud,Linux 4.0,86,,,Linux,7,26,1,1,1,0,FALSE,,,,,6442,3801,6075,4873,4445,1140,9309,9857,7150,8212,7076,3710,7154,1463,7076,3710,,United States,47.6062,-122.3321,
4,honeypot,TRUE,"Choopa, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,27,1,1,1,0,FALSE,vultrusercontent.com,140.82.32.237.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",8513,5955,9667,7925,6377,1319,3178,6866,1844,6765,3332,8879,2224,1029,3332,8879,Frankfurt am Main,Germany,50.1137,8.7119,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
5,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,,cloud,Linux,7,22,1,1,1,0,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",5797,4161,4694,7352,3667,7379,4813,9043,4852,1249,7853,6395,5293,8867,7853,6395,Jacksonville,United States,30.1438,-81.5401,"CVE-2018-20685,CVE-2017-15906,CVE-2021-36368,CVE-2020-14145,CVE-2018-15473,CVE-2020-15778,CVE-2021-41617,CVE-2018-15919,CVE-2016-20012,CVE-2019-6110,CVE-2019-6111,CVE-2019-6109"
6,honeypot,TRUE,"DigitalOcean, LLC",VPS,Linux 2.6.32,96,Ubuntu,cloud,Linux,2,30,1,1,1,0,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",6145,0,6414,0,5866,0,6840,0,8502,0,5869,0,8629,0,5869,0,,United States,37.751,-97.822,
7,honeypot,TRUE,SGP_VULTR_CUST,VPS,Linux 2.6.32,95,,"honeypot,vpn,self-signed,cloud,database",Linux,7,27,1,1,1,0,FALSE,vultrusercontent.com,139.180.219.239.vultrusercontent.com,"The Constant Company, LLC","The Constant Company, LLC",1358,3039,6965,7555,6104,7612,3023,8615,6255,1951,8154,6937,8648,5069,8154,6937,,United States,37.751,-97.822,CVE-2020-1938
8,honeypot,TRUE,Linode,VPS,Linux 2.6.32,94,Linux,cloud,Linux,6,22,1,1,1,0,FALSE,"linode.com,faramarz.se","www.faramarz.se,li2174-38.members.linode.com,faramarz.se","Linode, LLC",Linode,8186,2475,4826,5679,8920,5163,4168,3119,7051,4711,4046,3143,7408,6152,4046,3143,Absecon,United States,39.4899,-74.4773,
9,honeypot,TRUE,"Choopa, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",Linux,7,24,1,1,1,0,FALSE,vultrusercontent.com,45.63.117.240.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",8513,5955,9667,7925,6377,1319,3178,6866,1844,6765,3332,8879,2224,1029,3332,8879,Frankfurt am Main,Germany,50.0979,8.5999,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
10,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,1,25,1,1,1,0,FALSE,,,,,1989,3179,3864,5902,6497,7313,3286,4975,6429,2523,4669,7287,4955,3082,4669,7287,Ashburn,United States,39.0481,-77.4728,
