ip (hidden),IsHoneypot_new,IsCloud_old,modbusErrorRequestTime (ms),modbusReadRegister,isp_Shodan,org_Shodan,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,IpwhoisNetsDescription,domains_Shodan,hostnames_Shodan,city,country,latitude,longitude,vulns
1,honeypot,TRUE,0.661000013,0|0|0,"The Constant Company, LLC",JW Lucasweg 35,VPS,,,,"honeypot,vpn,self-signed,cloud,database",unknown,7,25,"JW Lucasweg 35
2031BE, Haarlem
Netherlands",vultrusercontent.com,95.179.146.208.vultrusercontent.com,,Netherlands,52.3824,4.8995,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
2,honeypot,FALSE,56.75399995,0|0|0,Sharktech,Sharktech Inc.,hosting,Linux 3.11 - 4.1,100,,honeypot,Linux,2,25,Sharktech,,,Las Vegas,United States,36.0768,-115.0891,
3,honeypot,TRUE,0.34100008,0|0|0,"The Constant Company, LLC","Vultr Holdings, LLC",VPS,,,,"honeypot,vpn,self-signed,cloud,database",unknown,7,26,"Choopa, LLC",vultrusercontent.com,144.202.125.229.vultrusercontent.com,Los Angeles,United States,34.0729,-118.2606,
4,honeypot,TRUE,0.339999914,0|0|0,"The Constant Company, LLC","Vultr Holdings, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,22,"Choopa, LLC",vultrusercontent.com,45.63.53.122.vultrusercontent.com,Los Angeles,United States,34.0729,-118.2606,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
5,honeypot,FALSE,2050.284,0|0|0,SURF B.V.,SURFnet bv,hosting,Linux 2.6.32,91,,"ics,honeypot",Linux,1,27,"SURFnet bv
P.O. Box 19035
3501 DA  Utrecht",as1101.net,caprica.as1101.net,,Netherlands,52.3824,4.8995,
6,honeypot,TRUE,8.013000011,0|0|0,"The Constant Company, LLC","Vultr Holdings, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,26,"Choopa, LLC",vultrusercontent.com,45.77.112.144.vultrusercontent.com,Miami,United States,25.8124,-80.2401,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
7,honeypot,TRUE,8.006000042,0|0|0,"The Constant Company, LLC","The Constant Company, LLC",VPS,,,,"honeypot,vpn,cloud",unknown,1,24,TYO_VULTR_CUST,vultrusercontent.com,202.182.112.254.vultrusercontent.com,Heiwajima,Japan,35.5826,139.7459,
8,honeypot,FALSE,8,0|0|0,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",cloud,,,,"ics,honeypot,vpn",unknown,7,25,"Tencent Cloud Computing (Beijing) Co., Ltd
Floor 6, Yinke Building, 38 Haidian St, Haidian District",,,,China,39.9289,116.3883,
9,honeypot,FALSE,0.249000072,0|0|0,VNPT Corp,VietNam Data Communication Company,telecom,,,,"honeypot,self-signed,medical,database",unknown,7,18,VietNam Data Communication Company,"example.com,vnpt.vn","example.com,static.vnpt.vn",,Vietnam,16,106,
10,honeypot,TRUE,8.010999918,0|0|0,"The Constant Company, LLC","Vultr Holdings, LLC",VPS,,,,"honeypot,self-signed,cloud",unknown,0,28,"Choopa, LLC",vultrusercontent.com,45.77.94.150.vultrusercontent.com,Miami,United States,25.8124,-80.2401,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
