ip (hidden）,isHoneypot_new,IsCloud_old,ISP_conclusion,OS_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OpenPortNum,hopNum,s7NameOfThePLC,s7PlantIdentification,s7SerialNumberOfModule,s7time5After,s7ResponseTime,IpwhoisNetsDescription,domains_Shodan,hostnames_Shodan,isp_Shodan,org_Shodan,city,country,latitude,longitude,vulns_Shodan,identities
1,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,15,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
2,honeypot,FALSE,cloud,Linux,Linux 2.6.32,96,,,0,30,Party-drome,Stockholm Beer Factory,63426409,FALSE,0.631500006,"OVH Hosting, Inc.",,,,,Sydney,Australia,-33.8612,151.1982,,
3,honeypot,TRUE,cloud,unknown,,,,cloud,0,30,PLC S7-1500,,S C-H3SF38492016,TRUE,,Amazon Technologies Inc.,amazonaws.com,ec2-18-191-174-131.us-east-2.compute.amazonaws.com,"Amazon.com, Inc.",Amazon Technologies Inc.,Columbus,United States,39.9653,-83.0235,"CVE-2018-20685,CVE-2017-15906,CVE-2021-36368,CVE-2020-14145,CVE-2018-15473,CVE-2020-15778,CVE-2021-41617,CVE-2023-28531,CVE-2018-15919,CVE-2016-20012,CVE-2019-6110,CVE-2019-6111,CVE-2019-6109",
4,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
5,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234499931,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
6,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.235500038,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
7,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234500051,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
8,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,1,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.384000063,DigitalOcean London,3cx.co.uk,novateksystems.3cx.co.uk,"DigitalOcean, LLC",DigitalOcean London,London,United Kingdom,51.5142,-0.0931,,
9,honeypot,TRUE,cloud,Linux,Linux 4.4,97,,cloud,1,23,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.356000066,"DigitalOcean, LLC",3cx.ca,lgbtq.3cx.ca,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7143,-74.006,,
10,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,3,27,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.316999972,"DigitalOcean, LLC",,,,,New York,United States,40.7214,-74.0052,,
11,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
12,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232499957,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
13,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234000027,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
14,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,29,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.315999985,"DigitalOcean, LLC",,,,,,United Kingdom,51.4964,-0.1224,,
15,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,2,24,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.299499989,"DigitalOcean, LLC",,,,,Singapore,Singapore,1.2931,103.8558,,
16,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.23299998,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
17,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,30,Technodrome,Mouser Factory,88111222,FALSE,0.234499991,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
